pH,NaCl_mM,load_mg_per_mL_resin,recovery_percent,aggregate_percent,mean_DAR
5.5,50,10,89.74377366380355,3.331767545196091,4.075442101693805
5.5,50,25,85.9680127150076,3.717511113352062,4.0463937409214985
5.5,150,10,91.60036095664516,2.772270645468211,3.9970207513723506
5.5,150,25,89.05245177311296,3.222860568339409,4.056023711512989
5.5,300,10,87.18917184907693,2.3833812008011046,3.984730166848138
5.5,300,25,85.00825639451014,2.7018205776896798,3.9767261707322077
6.5,50,10,92.60227232253384,2.785750826675534,4.023379611708452
6.5,50,25,89.54700592612514,3.3221799674267656,4.059286452922668
6.5,150,10,93.98655907399657,2.5298463778330023,4.004667432365629
6.5,150,25,90.61756485794113,3.029816609654612,4.008747543869161
6.5,300,10,92.45351837989027,1.9119098917393984,3.9598571511179275
6.5,300,25,89.67223354834316,2.4396231504511823,3.933943821950987
7.5,50,10,89.55282455804897,2.821247140130569,4.047156542522877
7.5,50,25,87.70179296557443,2.9640377475423074,4.022703162779556
7.5,150,10,91.37400747380164,2.0231635906392693,3.9815647759475996
7.5,150,25,87.61256602969341,2.5029340907628184,3.995251529033542
7.5,300,10,89.045000627266,1.5923969133863243,3.836713767205773
7.5,300,25,85.2828939193368,2.194345843908134,3.882213151345708
